Year,GCB,CABLE-POP,CLASSIC,CLM5.0,DLEM,EDv3,ELM,IBIS,ISAM,ISBA-CTRIP,JSBACH,JULES-ES,LPJ-GUESS ,LPJwsl,LPJml,LPX-Bern,OCNv2,ORCHIDEE-v3,SDGVM,VISIT,YIBs,Multi-model mean,Model Spread (sd)
1959,0.430358952,-0.297389244,0.3162,0.276912423,0.434518242,0.71101497,0.8643342,0.568455,1.483839523,0.9656187,0.40977,0.03055551,-0.707992,-0.430672277,0.039440315,0.328831694,0.889956534,0.549868,0.201777444,1.41,0.56214,0.430358952,0.555553029
1960,1.25234663,2.137762406,1.1037,1.790785402,1.671214988,1.14207996,1.738872,1.084692,1.341953041,0.9976718,2.1738,0.677340716,0.835254,0.376548735,1.572189291,0.689288158,1.060377955,1.17662,0.400742143,1.588,1.48804,1.25234663,0.51795895
1961,0.899619515,1.67670893,0.8056,0.885000474,1.341876092,2.08602864,1.270117,0.559826,0.957341203,0.9783638,1.6744,0.245930777,0.795603,-0.054897982,0.131270456,0.437127074,1.466081619,0.856589,-0.693605791,1.3,1.27303,0.899619515,0.664631019
1962,1.293962035,1.831519601,1.0017,0.334234247,1.85588646,1.71883395,1.641357,0.961032,1.470531361,1.179206,2.1866,1.822240196,1.424159,0.390641159,1.05857404,0.165027666,1.70022893,1.54258,-0.435920899,2.1,1.93081,1.293962035,0.710113442
1963,0.959731798,1.392874818,0.0056,1.719622291,1.172224829,1.30601277,1.397455,0.323399,1.156858806,0.5546877,1.6134,1.830432062,-0.026016,-0.101112934,0.328858294,0.215212197,1.54027915,0.770386,0.743381982,2.005,1.24608,0.959731798,0.667635099
1964,1.644886173,2.187612201,1.1209,2.146895075,1.78407598,1.64230076,1.514262,1.376065,1.831623648,1.693289,2.1772,2.790626467,2.190071,0.832800304,1.483583685,0.936195988,1.817588449,1.30522,0.1476239,1.403,2.51679,1.644886173,0.61788329
1965,0.366636244,1.437341434,-0.7434,0.543412025,0.651198813,2.30013855,-0.3162368,0.232806,1.454022451,-0.1009707,0.78444,1.571568628,-0.209082,-0.562446737,-0.481168798,-1.1469862,0.672611415,0.80563,-1.790033206,1.012,1.21788,0.366636244,1.026596386
1966,1.563293953,1.758330697,2.2968,2.026583535,1.596978017,1.95639694,2.19618,0.622894,1.526394379,1.461767,2.4471,1.011416529,1.529188,0.534902652,2.382763417,1.015172714,1.516133904,1.24748,1.611857283,1.154,1.37354,1.563293953,0.546143812
1967,1.730972744,2.119030165,0.8253,1.713524639,2.184944557,2.16912883,1.960419,1.008091,1.458769644,1.056245,2.0801,2.581635438,1.768813,1.298487029,1.503631128,1.358285891,2.675501585,1.09711,1.656327978,1.581,2.52311,1.730972744,0.545208656
1968,2.4856318,2.252646188,2.8189,2.180032455,2.756964308,2.37356943,2.914332,0.94278,2.374879375,1.290294,1.9468,3.289765726,3.705779,2.621744612,3.672455678,1.99077134,2.816543102,1.60507,2.379878786,2.554,3.22543,2.4856318,0.721691717
1969,0.765601269,0.779899953,0.3894,1.639019598,0.265612674,1.74259787,0.6247843,-0.265532,0.489336089,0.527572,1.4159,1.19909412,0.650563,0.621884454,0.710357324,0.627588221,0.67117703,0.758131,0.231259749,0.582,1.65138,0.765601269,0.518334697
1970,0.774795185,1.235072027,0.4842,1.811429612,1.041367055,2.05676384,0.5398163,0.58814,0.757115976,1.07873,1.4928,0.668454193,0.176141,-0.356486487,0.656621588,0.403342314,0.767203629,0.86239,-0.88381734,0.887,1.22962,0.774795185,0.671342244
1971,2.306640669,3.341842288,3.2968,0.910743781,3.23025616,2.81381733,2.501365,0.162779,2.26263732,1.773766,1.9612,3.79363052,3.118324,1.194358737,2.974208732,1.305563725,2.931330204,1.72568,1.170850589,2.546,3.11766,2.306640669,0.985097369
1972,1.253937953,1.263838501,2.39,2.025854878,1.430538156,2.40498788,0.5770553,-1.181915,0.862196611,0.3012751,-0.12304,2.069346687,2.220673,0.860367763,1.605888724,1.066003712,1.740143538,0.9308,0.606334206,1.835,2.19341,1.253937953,0.931477031
1973,1.686948679,2.130953118,3.3093,1.956962473,2.175435106,2.54772336,1.088364,0.113586,1.024571425,1.649407,1.8484,0.846094673,3.346252,-0.146253337,2.615483135,0.769180517,2.132098913,1.24492,1.8491452,0.593,2.64435,1.686948679,0.979802358
1974,3.765889699,4.815588092,5.6114,1.429123745,4.580831552,3.44950153,4.943114,0.637119,3.663399919,2.777781,4.5526,4.436328167,4.736996,2.52806315,4.945254791,3.242164768,4.182957649,2.8961,3.324470626,3.982,4.583,3.765889699,1.255366671
1975,2.522553245,2.311179883,3.4883,1.898321899,2.721130935,3.53777927,3.066903,1.032046,2.587354292,2.005218,2.2442,2.991926434,3.369538,1.179722033,3.003960947,2.121580013,3.202239037,1.58764,1.843735154,3.113,3.14529,2.522553245,0.759884068
1976,2.997899716,3.11112121,3.7591,1.952868292,3.112103312,3.70958752,3.230428,0.935561,2.759159242,2.115092,1.9054,4.939556055,3.120001,3.34627573,3.971358926,2.013837034,3.70112133,1.70151,2.359443668,4.014,4.20047,2.997899716,1.011117266
1977,1.417101717,2.322960853,2.7525,2.521454262,0.506726222,2.5519751,1.179656,-0.285735,1.265688143,0.6663065,1.4824,1.994976627,0.183703,0.395856014,1.41242351,1.410552031,2.456425667,0.913527,0.820598402,1.985,1.80504,1.417101717,0.875031539
1978,2.538517653,3.833244277,4.4282,1.956564444,2.38948781,2.77127102,2.911551,-0.587232,2.65271628,1.75854,3.5537,2.925764633,3.131862,0.945418419,3.191106619,1.406090744,2.667714357,2.21414,2.888073466,2.316,3.41614,2.538517653,1.101095612
1979,1.165996657,2.445415983,1.1226,1.294014282,1.05459906,2.88403898,0.3410512,-0.75878,1.496988325,0.8540811,3.1022,1.324756321,0.162308,-0.401096192,1.171215544,0.363302535,1.894551992,1.00409,0.337336009,1.604,2.02326,1.165996657,1.006908973
1980,0.442966614,2.047880097,-0.6638,2.72146298,0.653333607,2.57366714,-0.9039642,-0.425508,1.399805487,0.7197028,1.6567,0.545998998,-1.044825,-2.076274785,-0.588848243,-1.199581505,1.082220554,0.869935,-1.039152645,0.851,1.67958,0.442966614,1.365491224
1981,2.174755512,2.813906257,3.0025,1.865813692,3.169397349,2.98091876,2.773132,0.855781,2.332591549,1.880613,3.141,1.930984807,1.70821,-0.365355329,2.203766141,0.783446545,3.545186758,2.0922,1.993007716,1.879,2.90901,2.174755512,0.950941487
1982,1.620518848,2.312879224,2.0187,1.3395243,1.663109733,3.50352135,1.972175,0.770048,2.079618759,1.082338,0.9701,3.111868217,1.799827,0.427407545,1.236421463,0.690748085,2.002798796,1.72504,-0.190218507,1.519,2.37547,1.620518848,0.880869287
1983,0.359767066,1.161198241,-0.8758,2.776536584,0.668350437,1.95054025,-0.5408443,-0.430916,0.796762777,0.3286103,1.882,0.265499288,-0.423168,-1.972384839,-0.778932359,-1.338593352,1.316674948,0.734897,-0.13125965,-0.16,1.96617,0.359767066,1.234822527
1984,2.841700739,3.359548135,4.3876,3.208434105,3.42798755,3.32657652,3.175346,2.476469,2.774187024,2.554302,3.0162,2.037735792,3.62225,1.113905725,3.132187905,1.826446859,3.154760122,2.99203,0.788148036,3.175,3.2849,2.841700739,0.850227012
1985,2.650944873,3.7319807,3.2005,1.639641459,3.044245566,3.68924154,3.554367,1.767187,2.742901149,1.961637,4.1164,2.493233938,3.01426,0.858197087,2.703637621,1.303219347,3.296267509,2.39392,1.740410538,2.263,3.50465,2.650944873,0.898400164
1986,2.435813351,2.251553807,2.8346,3.077295459,2.498314414,3.63225806,3.175602,1.193642,2.673453637,1.694201,2.9472,3.438890846,2.663177,1.144280052,2.405309778,0.2528843,3.163714409,1.65409,2.325440251,2.175,3.51536,2.435813351,0.884864182
1987,0.636851694,1.343997135,-0.3331,2.810688744,0.288777806,2.57018513,-0.3313055,0.379062,0.836975358,0.04721233,1.1497,0.158538589,-0.146729,-0.370385894,0.14532748,-0.484262545,1.503349662,0.899729,-0.242576416,0.691,1.82085,0.636851694,0.974241603
1988,2.096901296,2.764648049,1.5568,3.355727379,3.308079434,2.95314688,1.8679,1.572196,2.318133277,2.239367,3.8069,1.879443548,1.060367,-0.644039661,1.961725351,0.585329693,2.9614048,2.13244,2.492687162,1.154,2.61177,2.096901296,1.047313312
1989,3.552275667,3.012720161,5.0133,2.702850407,4.84669191,4.17901146,5.533264,3.968859,3.190270933,3.186837,2.7883,3.080640751,3.669978,2.447914784,3.410714135,2.645529239,3.927149057,2.68804,2.938832498,3.636,4.17861,3.552275667,0.862152758
1990,2.365148815,1.395586626,4.1718,2.927258962,1.789992958,3.61943137,3.090477,2.407756,1.913949852,1.661895,2.4058,1.32936966,2.777229,2.094045749,2.524399194,2.278657154,2.897918224,1.53585,1.581419561,2.081,2.81914,2.365148815,0.756494624
1991,2.143846033,3.047369644,2.4852,2.011042946,2.266414937,3.68350426,2.450276,0.908098,2.583354139,1.476937,3.314,3.164592239,0.932234,0.872351387,1.834028225,0.58177449,3.065877914,2.17036,1.152875484,1.982,2.89463,2.143846033,0.919086258
1992,2.44388355,3.270627585,2.159,3.07218916,2.578476561,3.68323511,1.834229,2.011722,2.789989409,1.635977,2.0748,4.040072917,3.140959,2.512707596,2.469915906,0.309084316,2.970911741,1.64063,1.242173701,1.167,4.27397,2.44388355,1.003256631
1993,2.996492445,3.328955043,3.492,2.835009438,3.314575346,3.67416462,4.222233,2.912759,2.60851727,2.032287,2.6599,2.497360618,3.846525,2.951644593,3.49880618,1.669385383,3.803972244,2.54951,1.499264164,2.223,4.30998,2.996492445,0.796366611
1994,1.480194982,2.119392284,0.8156,2.426009123,1.557262294,3.30218128,1.804861,1.560132,2.464755824,1.859269,1.7546,1.37640893,-0.51623,0.152341904,0.614135173,-0.060362435,2.305289507,1.36784,0.614873748,1.846,2.23954,1.480194982,0.95713963
1995,1.839646751,2.14824182,1.0716,2.957310249,2.062990592,3.49027872,2.634624,1.448211,2.292693442,1.509415,1.7429,1.107897523,1.053763,0.843219914,1.831461008,0.386472683,2.524151564,1.70825,1.934854503,1.35,2.6946,1.839646751,0.779370049
1996,3.416528128,3.891779076,4.0481,3.011574631,3.779935938,4.51688781,4.076479,2.986931,2.907772478,2.690091,2.4101,2.481217381,4.979048,2.798029999,4.060197988,2.582534867,3.320025206,3.25834,2.835418179,3.313,4.3831,3.416528128,0.749624277
1997,3.286812253,3.337255356,4.2177,3.482229034,3.122974241,4.07800145,3.973262,2.101891,2.85277513,2.018438,3.6908,2.751428327,3.436137,3.69126109,3.596585196,3.137959857,3.636455059,1.7427,4.516232313,2.866,3.48616,3.286812253,0.733455576
1998,1.520810703,1.318278987,2.9676,2.941529022,0.773267007,3.12747822,1.524723,0.446327,1.303759599,1.986709,3.4715,-1.154753139,0.393887,0.222044287,0.991313886,1.231589523,1.865475655,1.19431,1.992555007,1.728,2.09062,1.520810703,1.119485571
1999,3.551686017,3.602799843,3.066,2.370447469,4.538400647,4.55856375,4.775697,4.101388,3.789941555,3.385584,4.2679,2.847824039,2.588709,3.535957548,3.337718989,2.592275165,4.02747345,2.86365,2.564199887,4.176,4.04319,3.551686017,0.750943787
2000,3.816066037,3.885203927,4.9209,3.622607518,4.391827408,4.51694138,5.312516,3.908704,4.057762155,2.94922,4.1542,2.424149115,3.151671,3.843329044,3.978211152,3.234449386,4.298707485,2.66873,2.456751161,4.186,4.35944,3.816066037,0.789104805
2001,2.548707065,2.447670257,2.8793,2.818150004,2.60044367,4.66624549,2.64698,2.706062,2.726562417,2.267943,2.3942,2.147201438,1.516024,2.330263113,2.136807003,1.156861164,3.297286034,1.51547,2.263771716,3.153,3.3039,2.548707065,0.756528642
2002,1.29389719,1.473214579,0.8419,2.301386636,1.504661301,4.35017881,0.4241109,2.059228,1.738717165,1.619487,1.042,1.315201832,-0.377156,0.82903438,0.431101701,-0.56566502,2.084503174,1.15279,0.119079344,1.051,2.48317,1.29389719,1.101583736
2003,2.557056323,2.474150272,1.7649,3.754091712,3.021267609,3.94057824,1.48812,2.641431,2.456932822,2.837757,3.5065,1.793114193,1.901368,1.863470785,2.852845871,0.909739883,3.288564205,1.98849,2.973334875,2.196,3.48847,2.557056323,0.816352593
2004,3.601998724,4.032272885,3.8049,4.146104292,3.644173015,4.76657138,4.148746,2.653609,3.45754982,2.53134,4.1737,2.757801572,4.765627,3.835646789,3.347374858,2.396038359,4.216867924,2.38108,2.944441577,4.118,3.91813,3.601998724,0.756741855
2005,2.015976151,1.948513339,1.906,2.572231562,2.012660892,4.20557618,2.273382,1.403695,2.169852465,1.982872,2.1966,1.746183528,1.149111,1.864542264,1.478991016,0.479844887,2.810066462,1.763,1.691600417,2.011,2.6538,2.015976151,0.737022383
2006,3.238899246,3.411323431,2.5349,3.982366708,3.964749278,4.65266571,4.113197,2.091391,3.003820043,3.302113,2.8401,3.199097856,2.319966,2.948080289,3.377462557,2.225055981,3.856780052,2.48002,4.003876023,3.199,3.27202,3.238899246,0.704361692
2007,2.892153592,3.807483923,2.5189,3.753474361,3.29949971,4.64676885,3.432232,1.960645,3.091840937,2.28039,3.7054,2.526929972,2.080519,2.226709101,2.816823075,0.995256626,3.634508133,2.20199,1.693081153,3.698,3.47262,2.892153592,0.902886829
2008,3.624921191,3.94991379,3.8036,4.266426362,4.407529704,5.41181094,3.934276,3.14842,3.925452559,3.051526,4.1104,3.175172511,4.076915,3.193162142,2.690539631,2.06917292,4.344707012,2.77653,1.791629251,4.035,4.33624,3.624921191,0.873331138
2009,2.998521825,3.269456165,2.7813,3.512321201,3.154350517,5.08957854,2.63101,2.206664,2.655387761,2.40695,3.8272,2.603105281,2.435655,3.484885931,2.931926748,1.845948167,3.813503504,1.80936,2.256713682,3.359,3.89612,2.998521825,0.804745216
2010,3.344808578,3.492163739,4.4891,3.876458364,2.774478494,4.02237855,3.756897,0.709119,2.650824453,2.832358,4.9357,0.940075952,4.165222,3.299364659,4.059146084,2.404193723,3.843014717,2.52666,4.415366829,3.715,3.98865,3.344808578,1.1063962
2011,4.132666979,4.390648888,4.4595,2.962858389,4.310220191,5.25569169,4.670281,2.813028,4.234061534,3.722246,4.8073,4.016887286,4.488636,4.610232307,4.660237901,2.689948947,4.915648937,2.93214,2.907532511,5.192,4.61424,4.132666979,0.831492041
2012,2.591914894,2.670407456,1.5006,4.121430679,2.724799491,4.78580913,1.52814,2.307864,3.116315727,2.888383,2.5711,2.346802888,0.934041,2.280436777,2.851627736,0.980529963,3.474009275,1.74136,2.001570756,3.466,3.54707,2.591914894,1.001026991
2013,3.639193355,3.91620685,3.8198,3.887385933,3.887243179,5.20090702,3.560901,3.459084,3.104258083,3.63472,4.8463,2.175836293,3.771184,3.978308722,3.971753524,2.543838128,3.793820858,2.53903,2.585489505,3.472,4.6358,3.639193355,0.774707335
2014,3.856130914,4.135098647,4.6026,3.492433915,3.733741813,6.18557414,4.721725,2.504372,3.839363534,3.460016,3.2619,2.9811738,4.0957,4.736704521,4.148096451,2.652421656,4.791886806,2.07572,3.198559989,4.264,4.24153,3.856130914,0.952025751
2015,2.277525489,2.021455989,1.9249,4.046927839,1.750807377,5.32912177,1.604449,0.806838,2.872081997,1.858877,1.6938,2.042108286,0.967639,2.730142022,1.696133731,0.328774185,3.724058151,1.43861,2.462325426,3.063,3.18846,2.277525489,1.187317153
2016,2.939957047,2.769564862,3.9656,4.089119009,2.978022987,4.56638938,3.085146,1.711887,1.928112815,3.329489,3.5373,0.376348833,2.19269,3.158636655,2.964572419,2.002949431,4.279967308,2.10405,3.837085238,2.164,3.75821,2.939957047,1.044727592
2017,3.729804319,4.055495847,4.3939,4.566896494,3.813570601,5.90606436,4.64555,2.390688,3.420921009,3.375113,3.9518,2.259242138,3.541127,3.465471877,3.65783166,2.208280922,4.218673706,3.05732,3.32250976,4.198,4.14763,3.729804319,0.880562192
2018,3.604710237,2.965065598,2.7413,3.905256537,4.230045012,6.5700016,3.107375,1.906073,3.752243917,3.603558,4.6836,2.687956817,3.487889,3.669490022,3.403181849,2.146848251,4.35722208,2.6044,3.729818054,4.112,4.43088,3.604710237,1.033495096
2019,3.009866407,2.747447351,2.6743,3.364677844,2.946767967,5.76308976,2.482949,2.016562,3.074035724,2.464324,4.392,2.53038188,3.129177,3.433949748,2.448832267,1.270235536,4.106492519,1.80787,2.625105534,3.139,3.78013,3.009866407,0.987777187
2020,3.110043659,3.615281297,3.1463,4.687584687,3.322228912,5.51192387,4.224001,1.506939,3.861470218,2.893369,4.5266,1.958870597,2.020858,2.354836773,2.756655422,1.083575919,4.223342896,2.0394,2.086135581,3.14,3.2415,3.110043659,1.164246526
2021,3.542676978,4.442897459,3.7888,3.901959652,4.172544031,5.89609036,4.163884,2.610798,3.432845361,4.109693,4.2015,2.461799159,2.857244,2.504059451,3.015116878,1.41025349,3.986339092,2.94635,2.648295627,4.408,3.89507,3.542676978,0.992736117
2022,3.780125554,3.175040838,3.7069,3.06352851,4.454187206,5.60664629,3.40129,3.244389,4.347451624,3.907286,4.3582,3.288691849,2.827052,3.548421261,3.783431849,2.127767678,4.816586971,2.74693,4.183710009,4.555,4.46,3.780125554,0.829692166